"","ID","Cluster","V1","V2"
"H1_micr_2_6_22","H1_micr_2_6_22",12,7.26154350170316,12.5718120760344
"H1_micr_2_6_24","H1_micr_2_6_24",12,1.52292722209771,12.2429460408301
"H1_micr_2_6_26","H1_micr_2_6_26",12,2.21280130830536,19.1600340444502
"H1_micr_2_6_27","H1_micr_2_6_27",3,14.1216248194496,6.49795839419349
"H1_micr_2_6_35","H1_micr_2_6_35",12,5.07913901190424,15.2482835647017
"H1_micr_2_6_38","H1_micr_2_6_38",12,6.87035113846187,15.0110781286197
"H1_micr_2_6_40","H1_micr_2_6_40",12,4.92211380229129,13.325046050124
"H1_micr_2_6_43","H1_micr_2_6_43",6,13.0894257530123,0.866817809012956
"H1_micr_2_6_49","H1_micr_2_6_49",12,4.31769489468002,16.529508998414
"H1_micr_2_6_51","H1_micr_2_6_51",12,1.13390962695067,15.4165132977869
"H1_micr_2_6_52","H1_micr_2_6_52",6,4.07380028616387,8.6748611623481
"H1_micr_2_6_54","H1_micr_2_6_54",12,1.13040444828364,14.4166303721507
"H1_micr_2_6_55","H1_micr_2_6_55",9,-10.1705515426822,5.18407793562687
"H1_micr_2_6_60","H1_micr_2_6_60",11,-4.71176478306212,18.2744529177165
"H1_micr_2_6_65","H1_micr_2_6_65",12,2.91087634210065,16.3514516613352
"H1_micr_2_6_66","H1_micr_2_6_66",12,-0.486636825391255,14.8281874398385
"H1_micr_2_6_67","H1_micr_2_6_67",12,7.07865118861611,10.815470667403
"H1_micr_2_6_68","H1_micr_2_6_68",12,8.00238788526864,17.3208443211259
